order_id,order_number,customer_id,order_date,status,subtotal,discount_percent,shipping_cost,tax_amount,total_amount,payment_method,shipping_method,promotion_id,notes
1,ORD-20240814-00001,161,2024-08-14,enviado,4756.66,12,490,998.9,5674.76,credit_card,same_day,7,Nota del cliente: Entregar por la tarde
2,ORD-20250906-00002,236,2025-09-06,cancelado,3065.36,20,10,643.73,3106.02,debit_card,express,,
3,ORD-20241112-00003,78,2024-11-12,entregado,659.76,13,80,138.55,792.54,paypal,express,8,Nota del cliente: Llamar antes
4,ORD-20251208-00004,119,2025-12-08,pendiente,1239.04,12,150,260.2,1500.56,credit_card,pickup,,
5,ORD-20230805-00005,261,2023-08-05,enviado,7162.08,5,30,1504.04,8338.02,paypal,pickup,,
6,ORD-20250207-00006,228,2025-02-07,pendiente,205.67,0,250,43.19,498.86,cash_on_delivery,standard,,
7,ORD-20241213-00007,291,2024-12-13,enviado,5483.99,5,250,1151.64,6611.43,bank_transfer,standard,,
8,ORD-20240509-00008,36,2024-05-09,entregado,2224.96,5,460,467.24,3040.95,paypal,express,,
9,ORD-20231128-00009,158,2023-11-28,pendiente,3172.2,6,250,666.16,3898.03,bank_transfer,standard,,
10,ORD-20250923-00010,282,2025-09-23,cancelado,4016.93,1,240,843.56,5060.32,cash_on_delivery,same_day,2,Nota del cliente: Entregar por la tarde
11,ORD-20240524-00011,196,2024-05-24,cancelado,4191.93,2,250,880.31,5238.4,credit_card,express,,Nota del cliente: Entregar por la tarde
12,ORD-20240709-00012,176,2024-07-09,pendiente,3783.54,8,90,794.54,4365.4,cash_on_delivery,same_day,,Nota del cliente: Dejar en portería
13,ORD-20250928-00013,303,2025-09-28,enviado,3230.98,11,10,678.51,3564.08,debit_card,pickup,,
14,ORD-20240719-00014,161,2024-07-19,enviado,1242.01,3,360,260.82,1825.57,debit_card,express,,
15,ORD-20230831-00015,101,2023-08-31,cancelado,2469.15,16,460,518.52,3052.61,cash_on_delivery,express,,
16,ORD-20251123-00016,73,2025-11-23,pendiente,129.64,3,440,27.22,592.97,credit_card,same_day,1,
17,ORD-20250120-00017,234,2025-01-20,cancelado,1190.26,10,330,249.95,1651.18,debit_card,same_day,,Nota del cliente: Entregar por la tarde
18,ORD-20260503-00018,15,2026-05-03,cancelado,4091.96,17,250,859.31,4505.64,credit_card,standard,,
19,ORD-20250430-00019,189,2025-04-30,enviado,2688.94,19,120,564.68,2862.72,paypal,pickup,4,
20,ORD-20250124-00020,97,2025-01-24,cancelado,2783.8,20,160,584.6,2971.64,cash_on_delivery,same_day,,
21,ORD-20230203-00021,89,2023-02-03,enviado,3384,14,60,710.64,3680.88,bank_transfer,express,,
22,ORD-20230519-00022,139,2023-05-19,pendiente,1813.39,5,70,380.81,2173.53,credit_card,standard,9,
23,ORD-20240517-00023,273,2024-05-17,entregado,275.56,12,500,57.87,800.36,bank_transfer,same_day,5,
24,ORD-20250601-00024,221,2025-06-01,procesando,196.14,19,70,41.19,270.06,paypal,standard,4,
25,ORD-20230510-00025,14,2023-05-10,entregado,3403.7,10,200,714.78,3978.11,credit_card,same_day,,
26,ORD-20250801-00026,2,2025-08-01,procesando,875.36,14,500,183.83,1436.64,cash_on_delivery,same_day,,
27,ORD-20240224-00027,16,2024-02-24,enviado,1206.54,19,500,253.37,1730.67,paypal,pickup,,
28,ORD-20240321-00028,229,2024-03-21,cancelado,2510.12,17,410,527.13,3020.53,credit_card,same_day,,
29,ORD-20230920-00029,164,2023-09-20,procesando,5079.21,8,170,1066.63,5909.5,bank_transfer,standard,,
30,ORD-20230527-00030,276,2023-05-27,procesando,4538.38,5,400,953.06,5664.52,debit_card,pickup,6,
31,ORD-20250205-00031,323,2025-02-05,enviado,2368.7,12,80,497.43,2661.89,credit_card,express,,
32,ORD-20230614-00032,299,2023-06-14,cancelado,4288.03,3,270,900.49,5329.88,debit_card,same_day,,
33,ORD-20250414-00033,79,2025-04-14,cancelado,2599.46,2,340,545.89,3433.36,bank_transfer,standard,1,
34,ORD-20260224-00034,65,2026-02-24,cancelado,1657.05,0,360,347.98,2365.03,debit_card,standard,,
35,ORD-20250102-00035,75,2025-01-02,procesando,1668.38,20,230,350.36,1915.06,cash_on_delivery,standard,,
36,ORD-20240517-00036,280,2024-05-17,cancelado,656.2,19,430,137.8,1099.32,bank_transfer,standard,,
37,ORD-20230505-00037,143,2023-05-05,cancelado,4701.3,16,60,987.27,4996.36,cash_on_delivery,same_day,10,
38,ORD-20231229-00038,129,2023-12-29,cancelado,790.74,16,500,166.06,1330.28,paypal,standard,,
39,ORD-20240520-00039,232,2024-05-20,procesando,2569.01,14,110,539.49,2858.84,bank_transfer,same_day,,
40,ORD-20230801-00040,189,2023-08-01,pendiente,3590.36,10,310,753.98,4295.3,credit_card,standard,,
41,ORD-20240602-00041,47,2024-06-02,cancelado,473.44,20,210,99.42,688.17,cash_on_delivery,pickup,8,
42,ORD-20250122-00042,269,2025-01-22,pendiente,4650.13,20,440,976.53,5136.63,debit_card,standard,9,
43,ORD-20240207-00043,204,2024-02-07,pendiente,1448.75,0,470,304.24,2222.99,paypal,standard,,Nota del cliente: Llamar antes
44,ORD-20240718-00044,132,2024-07-18,entregado,5000.07,2,320,1050.01,6270.08,paypal,same_day,,
45,ORD-20240103-00045,105,2024-01-03,procesando,3389.6,1,160,711.82,4227.52,credit_card,same_day,,
46,ORD-20250127-00046,292,2025-01-27,cancelado,3246.78,13,280,681.82,3786.52,cash_on_delivery,standard,1,
47,ORD-20240819-00047,174,2024-08-19,enviado,1480.32,7,250,310.87,1937.57,bank_transfer,same_day,,
48,ORD-20230213-00048,269,2023-02-13,procesando,2893.95,20,320,607.73,3242.89,bank_transfer,express,7,Nota del cliente: Llamar antes
49,ORD-20240727-00049,187,2024-07-27,cancelado,2830.65,10,380,594.44,3522.03,debit_card,standard,,Nota del cliente: Envolver para regalo
50,ORD-20260222-00050,167,2026-02-22,cancelado,1192.55,15,80,250.44,1344.11,credit_card,same_day,,
